website,snapshot_number,snapshot_date,start_date_str,end_date_str,ttt,los,name,rating,price,index_in_page,reviews_amount
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Walker Hotel Tribeca,"8.0
Scored 8.0","₪ 1,020",1,"1,702 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,"8.0
Scored 8.0",₪ 766,2,"5,598 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Broadway Plaza Hotel,"8.7
Scored 8.7",₪ 770,3,845 reviews
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Sheraton Tribeca New York Hotel,"7.7
Scored 7.7",₪ 762,4,"3,277 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Four Points by Sheraton Manhattan Midtown West,"8.1
Scored 8.1",₪ 770,5,"2,226 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Element Times Square West,"7.7
Scored 7.7",₪ 773,6,"7,316 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,TownePlace Suites by Marriott New York Manhattan/Chelsea,"8.1
Scored 8.1",₪ 795,7,"6,035 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Courtyard by Marriott Times Square West,"8.2
Scored 8.2",₪ 760,8,"2,737 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Hyatt Place NYC Chelsea,"7.9
Scored 7.9",₪ 850,9,"15,192 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Wingate by Wyndham New York Midtown South/5th Ave,"8.1
Scored 8.1",₪ 808,10,"2,062 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Delta Hotels by Marriott New York Times Square,"7.7
Scored 7.7",₪ 766,11,"2,498 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Hyatt Place New York City/Times Square,"7.6
Scored 7.6",₪ 871,12,"21,704 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,The Herald by LuxUrban,"7.8
Scored 7.8",₪ 707,13,"6,760 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,DoubleTree by Hilton Hotel New York City - Chelsea,"7.3
Scored 7.3",₪ 804,14,"2,488 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Hilton Garden Inn New York/Midtown Park Avenue,"8.0
Scored 8.0",₪ 728,15,"1,880 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Four Points by Sheraton Manhattan SoHo Village,"7.6
Scored 7.6",₪ 766,16,897 reviews
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,"7.4
Scored 7.4",₪ 808,17,582 reviews
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,M Social Hotel Times Square New York,"8.4
Scored 8.4",₪ 997,18,"10,662 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection","8.7
Scored 8.7",₪ 686,19,923 reviews
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,The Pearl Hotel,"8.6
Scored 8.6",₪ 892,20,"1,871 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,AC Hotel by Marriott New York Times Square,"8.3
Scored 8.3",₪ 892,21,740 reviews
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,SpringHill Suites by Marriott New York Manhattan/Times Square South,"8.0
Scored 8.0",₪ 936,22,"7,226 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Hilton Garden Inn New York Times Square South,"8.1
Scored 8.1",₪ 821,23,"4,255 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Omni Berkshire Place,"8.7
Scored 8.7",₪ 997,24,"1,275 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,AC Hotel by Marriott New York Downtown,"8.5
Scored 8.5",₪ 829,25,"1,763 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,DoubleTree by Hilton New York Midtown Fifth Ave,"7.4
Scored 7.4",₪ 892,26,473 reviews
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Courtyard by Marriott New York Manhattan/Chelsea,"8.3
Scored 8.3",₪ 976,27,"1,445 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,"8.1
Scored 8.1",₪ 892,28,"1,001 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Aloft New York Chelsea,"7.5
Scored 7.5",₪ 766,29,54 reviews
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,SpringHill Suites by Marriott New York Manhattan Chelsea,"8.2
Scored 8.2",₪ 976,30,"8,647 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Courtyard by Marriott New York Manhattan/ Fifth Avenue,"8.0
Scored 8.0",₪ 976,31,"1,254 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Renaissance New York Midtown Hotel,"8.4
Scored 8.4","₪ 1,102",32,"1,404 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,"8.5
Scored 8.5",₪ 877,33,"1,637 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,MOXY NYC Times Square,"8.1
Scored 8.1",₪ 892,34,"7,661 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,"The Draper New York, Tapestry Collection by Hilton","8.4
Scored 8.4",₪ 892,35,"1,465 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Motto By Hilton New York City Times Square,"8.2
Scored 8.2",₪ 902,36,331 reviews
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Courtyard by Marriott New York World Trade Center Area,"7.8
Scored 7.8",₪ 766,37,"2,671 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Moxy NYC East Village,"8.2
Scored 8.2",₪ 892,38,"1,916 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,"Crowne Plaza Times Square Manhattan, an IHG Hotel","7.8
Scored 7.8",₪ 871,39,"6,488 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Hampton Inn by Hilton New York Times Square,"7.7
Scored 7.7",₪ 892,40,570 reviews
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South,"8.2
Scored 8.2",₪ 978,41,"6,785 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,"The Cloud One New York-Downtown, by the Motel One Group","8.4
Scored 8.4",₪ 976,42,"4,290 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,"Staypineapple, An Artful Hotel, Midtown New York","8.7
Scored 8.7",₪ 896,43,"1,444 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,"voco Times Square South New York, an IHG Hotel","7.9
Scored 7.9",₪ 871,44,"2,900 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Four Points by Sheraton New York Downtown,"7.3
Scored 7.3",₪ 724,45,"2,352 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Fairfield Inn by Marriott New York Manhattan/Financial District,"7.5
Scored 7.5",₪ 808,46,"3,479 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,"EVEN Hotel New York - Times Square South, an IHG Hotel","8.5
Scored 8.5",₪ 825,47,562 reviews
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,"Hotel Indigo NYC Financial District, an IHG Hotel","8.8
Scored 8.8",₪ 808,48,"1,056 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Courtyard New York Manhattan/Times Square,"8.2
Scored 8.2",₪ 934,49,"2,507 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,City Club Hotel,"7.2
Scored 7.2",₪ 762,50,"2,123 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,70 Park Avenue Hotel,"8.3
Scored 8.3",₪ 913,51,"1,817 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Artezen Hotel,"9.1
Scored 9.1",₪ 863,52,"1,061 reviews"
Booking,2,22 May 2024,23 May 2024,24 May 2024,1,1,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,"8.4
Scored 8.4",₪ 808,53,"5,013 reviews"
