website,snapshot_number,snapshot_date,start_date_str,end_date_str,ttt,los,name,rating,price,index_in_page,reviews_amount
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,Merrion Row Hotel and Public House,700 reviews,"₪ 1,285",1,700 reviews
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,584 reviews,₪ 728,2,584 reviews
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,Da Vinci Hotel,"1,233 reviews",₪ 558,3,"1,233 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,"The Cloud One New York-Downtown, by the Motel One Group","4,486 reviews",₪ 855,4,"4,486 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,Four Points by Sheraton Manhattan SoHo Village,897 reviews,₪ 686,5,897 reviews
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,Best Western Premier Empire State Hotel,"1,412 reviews",₪ 774,6,"1,412 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,"The Bernic Hotel New York City,Tapestry Collection by Hilton","1,020 reviews",₪ 770,7,"1,020 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",951 reviews,₪ 753,8,951 reviews
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,Fairfield Inn & Suites by Marriott New York Manhattan/Chelsea,"1,000 reviews",₪ 766,9,"1,000 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,Wingate by Wyndham New York Midtown South/5th Ave,"2,096 reviews",₪ 853,10,"2,096 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,Henn na Hotel New York,"3,090 reviews",₪ 855,11,"3,090 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,AC Hotel by Marriott New York Downtown,"1,725 reviews",₪ 812,12,"1,725 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,The Pearl Hotel,"1,905 reviews",₪ 939,13,"1,905 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,Sanctuary Hotel New York,"1,363 reviews",₪ 837,14,"1,363 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,"The Historic Mayfair Hotel Times Square, Ascend Hotel Collection",714 reviews,₪ 774,15,714 reviews
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,The Manhattan Club,"3,621 reviews",₪ 901,16,"3,621 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,SpringHill Suites by Marriott New York Manhattan Chelsea,"8,870 reviews",₪ 939,17,"8,870 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,Artezen Hotel,"1,082 reviews",₪ 944,18,"1,082 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,TownePlace Suites by Marriott New York Manhattan/Times Square,"1,597 reviews",₪ 870,19,"1,597 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,Delta Hotels by Marriott New York Times Square,"2,658 reviews",₪ 897,20,"2,658 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,Cambria Hotel New York - Chelsea,"3,844 reviews",₪ 897,21,"3,844 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,Pod Times Square,"22,267 reviews",₪ 812,22,"22,267 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,"The Draper New York, Tapestry Collection by Hilton","1,479 reviews",₪ 855,23,"1,479 reviews"
Booking,4,13 June 2024,14 June 2024,15 June 2024,1,1,Doubletree By Hilton New York Times Square West,"14,261 reviews",₪ 812,24,"14,261 reviews"
