website,snapshot_number,snapshot_date,start_date_str,end_date_str,ttt,los,name,rating,price,index_in_page,reviews_amount
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,YOTEL New York Times Square,"6,097 reviews",₪ 793,1,"6,097 reviews"
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,1600ft TriBeCa Townhouse - Luxury & Spacious,5 reviews,"₪ 10,588",2,5 reviews
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,"33 Hotel, New York City, Seaport",516 reviews,"₪ 2,845",3,516 reviews
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,Margaritaville Resort Times Square,"3,174 reviews","₪ 1,717",4,"3,174 reviews"
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,NH Collection New York Madison Avenue,"2,015 reviews","₪ 1,369",5,"2,015 reviews"
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,Pendry Manhattan West,178 reviews,"₪ 5,071",6,178 reviews
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,Royalton New York,"2,465 reviews","₪ 1,174",7,"2,465 reviews"
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,Hotel Barrière Fouquet's New York,42 reviews,"₪ 4,596",8,42 reviews
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,The Whitby Hotel,151 reviews,"₪ 3,831",9,151 reviews
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,Casa Cipriani New York,68 reviews,"₪ 4,065",10,68 reviews
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,Mint House at 70 Pine,667 reviews,"₪ 1,635",11,667 reviews
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,"The Langham, New York, Fifth Avenue",461 reviews,"₪ 3,379",12,461 reviews
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,Casablanca Hotel by Library Hotel Collection,379 reviews,"₪ 1,926",13,379 reviews
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,The Fifth Avenue Hotel,16 reviews,"₪ 4,044",14,16 reviews
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,Roomza Times Square at Pestana CR7,217 reviews,"₪ 1,448",15,217 reviews
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,LUMA Hotel - Times Square,"3,953 reviews","₪ 1,741",16,"3,953 reviews"
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,Conrad New York Downtown,739 reviews,"₪ 1,829",17,739 reviews
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,Equinox Hotel Hudson Yards New York City,378 reviews,"₪ 3,946",18,378 reviews
Booking,5,20 June 2024,21 June 2024,22 June 2024,1,1,Tempo By Hilton New York Times Square,649 reviews,"₪ 1,783",19,649 reviews
